CategoryName,CategoryId
Arts & Entertainment,700177
Adult Entertainment,700178
Art Galleries,700179
Attractions,700180
Amusement Parks,700181
Aquariums,700182
Beaches,700183
Carnivals,700184
Fairs,700185
Landmarks & Historical Sites,700186
Museums,700187
National Parks,700188
Sightseeing Tours,700189
Sightseeing Tour Agency,701106
Wildlife Sanctuaries,700190
Zoos,700191
Cinema,700192
Film Festivals & Organizations,700193
Movie Theaters,700194
Dance Groups & Organizations,700195
Family Entertainment Centers,700196
Gambling,700197
Casinos,700198
Game Arcades,700199
Live Music,700200
Disk Jockeys,701107
Karaoke,700201
Music Festivals & Organizations,700202
Musician,701108
Orchestras & Symphonies,700203
Nightclubs,700204
Theaters & Performance Venues,700205
Theatre & Stage Lighting,701109
Automotive & Vehicles,700206
Aircraft,700207
Aircraft Dealers,700208
Aircraft Parts & Supplies,700209
Aircraft Rentals,701110
Aircraft Service & Maintenance,700210
Auto Maintenance & Repair,700211
Auto Air Conditioning Supplies & Service,701111
Auto Body Shops,700212
Auto Dent Removal Service,710213
Auto Detailing Services,700214
Auto Glass Shop,710220
Auto Restoration Service,701112
Auto Restoration Services,701113
Auto Tune Up Service,710222
Brake Service & Repair,700215
Car Washes,700216
Diesel Engine Repair Service,700876
Exhaust & Muffler Repair,700217
Muffler Shop,700877
Mechanic,700878
Oil Change Services,700218
Radiator Repair Service,700879
Transmission Shop,710221
Truck Repair Shop,700880
Wheel Alignment,710219
Auto Road Services,700223
Car Inspection Service,710224
Towing Service,710225
Auto Wrecker,700881
Boats & Marinas,700226
Boat & Yacht Dealers,700227
Boat Dealer,700882
Boat Repair & Service,700228
Boat Storage,700229
Marinas,700230
Cars & Trucks,700231
Auto Auctions,700232
Natural Gas Automobiles,701114
New Car & Truck Dealers,700233
Acura Dealer,710234
Audi Dealer,710235
BMW Dealer,710236
Buick Dealer,710237
Cadillac Dealer,710238
Car Dealer,700883
Chevrolet Dealer,710239
Chrysler Dealer,710240
Dodge Dealer,710241
Ford Dealer,710242
GMC Dealer,710243
Honda Dealer,710244
Hyundai Dealer,710245
Infiniti Dealer,700884
Jaguar Dealer,700885
Jeep Dealer,710246
Kia Dealer,710247
Land Rover Dealer,700886
Lexus Dealer,710248
Mazda Dealer,710249
Mercedes Benz Dealer,710250
Mitsubishi Dealer,700887
Nissan Dealer,710251
Porsche Dealer,700888
Subaru Dealer,710252
Suzuki Dealer,700889
Toyota Dealer,710253
Volkswagen Dealer,710254
Volvo Dealer,700890
Used Car & Truck Dealers,700255
Used Car Dealer,710256
Used Truck Dealer,700891
Gas Stations,700257
Motorcycles & Scooters,700258
Custom Motorcycles,700259
Harley-Davidson Dealer,700892
Motorcycle Dealer,700893
Motorcycle Repair & Service,700260
Scooters,700261
RVs & Trailers,700262
Campers & Camper Shells,700263
RV Dealers & Rentals,700264
RV Dealer,700894
RV Parts & Supplies,700265
RV Repair Shop,700895
Trailer Dealers & Rentals,700266
Horse Trailer Dealer,700896
Trailer Dealer,700897
Trailer Repair Shop,700898
Van Rental Agency,701115
Banking & Finance,700001
Accounting & Bookkeeping,700006
Bookkeeping Service,700899
ATMs,700007
Banks & Credit Unions,700008
Banks,701116
Credit Union,700900
Brokers,700002
Business Brokers,700003
Mortgage Brokers,700004
Stock & Bond Brokers,700005
Check Cashing Service,700901
Coin Dealers,700009
Collection Agencies,700010
Credit & Debt Counseling,700011
Currency Exchange Services,700012
Escrow Services,700013
Financial & Investment Planning,700014
Real Estate Investments,701117
Insurance,700015
Auto & Home Insurance,700016
Auto Insurance Agency,700902
Home Insurance Agency,700903
Motorcycle Insurance Agency,700904
Renter's Insurance Agency,700905
Business Insurance,701118
Farm Insurance,700017
Fidelity & Surety Bonds,700018
Health Insurance,700019
Life Insurance,700020
Loan Lending Companies,700021
Mortgage Lender,710022
Pawn Shop,700906
Real Estate Loan Lender,701119
Money Transfer Services,700023
Tax Return Preparation & Filing,700024
Beauty & Spa,700267
Barbers & Hair Salons,700268
Barber Shop,710269
Hair Salon,710270
Beauty Salon,710278
Day Spas,700271
Skin Care Clinic,700907
Facial Spa,700908
Hair Removal,700272
Electrolysis Hair Removal,701120
Laser Hair Removal,710273
Massage,700274
Medical Spa,710279
Nail Salons,700275
Spa Resort,700280
Tanning Salons,700276
Tattoos & Piercings,700277
Permanent Make-up,701121
Tattoos,701122
Business-to-Business,700025
B2B Advertising,700052
Advertising Agencies,700053
Commercial & Industrial Photographers,700054
Direct Mail Advertising,700055
Internet Marketing Service,710065
Marketing Consultants,700056
Newspaper Advertising,700057
Outdoor Advertising,700058
Promotional Products & Services,700059
Publicity Services,700060
Radio & Television Commercials,700061
Signage,700062
Neon Sign Shop,700909
Telemarketing Services,700063
Yellow Page Advertising,700064
B2B Agriculture & Food,700066
Apiaries & Beekeepers,700067
B2B Food Products,700068
Bottled Water Supplier,700910
Crops,700069
Grains,700070
Orchards,700071
Dairies,700072
Egg Supplier,701123
Farming,700073
Farm Equipment & Supplies,700074
Dairy Equipment & Supplies,701124
Farm Equipment Dealers,700075
Grain Elevators,700076
Greenhouses,700077
Irrigation Companies,700078
Farming Services,700079
Farms,700080
Fish Hatcheries & Farms,700081
Livestock Dealers,700082
Poultry Farming,700083
B2B Business Services,700084
Audio-Visual Production & Design,700085
Sound Production,701125
Video Production Services,701126
Business & Trade Organizations,700086
Labor Organizations & Unions,700087
Manufacturers Agents & Representatives,700088
Business Records Storage & Management,700089
Shredding Service,700911
Commercial Printers,700090
Computer Online Service,701127
Conference Center,700912
Consultants & General Services,700091
Business Consultants,700092
Business Management Services,700093
Public Relations Counselors,701128
Telephone Answering Service,700913
Computer System Designer & Consultant,701129
Consulting Engineers,700094
Ergonomic Consultants,701130
Executive Search Consultants,700095
Management Consultants,700096
Secretarial Services,700097
Telecommunications Consultants,700098
Courier Service,701131
Employee Benefits,700099
Human Resource Services,700100
Background Check Services,700101
Career Coaching Service,701132
Employment Contractors,700102
Employment Placement Services,700103
Temp Agency,700914
Information Services,700104
Data Recovery Service,700915
Information Technology Companies,700105
International Business & Trade Services,700106
Exporters,700107
Importers,700108
Meeting Room,700916
Metal Heat Treating Service,700917
Payroll Services,700109
Proof Reading Service,701133
Transcription Services,700110
Translating & Interpreting Services,700111
B2B Energy & Mining,700112
Electricity,700113
Gas Companies,700114
Mining,700115
Coal & Coke,700116
Quarries,700117
Oil & Gas,700118
Fuel Oil,700119
Oil & Gas Exploration and Development,700120
Oil & Gas Field Equipment & Services,700121
Oil Refiners,700122
B2B Entertainment,700123
Motion Picture Film Services,700124
Motion Picture Producers & Studios,700125
Music Production Services,700126
Radio Communication Equipment & Supplies,701134
Record Companies,700127
B2B Environmental & Ecological Services,700128
Asbestos Testing Service,700918
Cleaning & Waste Management,700129
Industrial Cleaning Service,700130
Industrial Waste Disposal & Recycling,700131
Water Treatment Equipment & Services,700132
Water Softening Equipment & Service,701135
Water Treatment Plant,700919
Energy Management & Conservation Consultants,700133
Environmental Conservation & Ecological Organizations,700134
Environmental Consultants,700135
Forestry Consultants,700136
Geologists Services,700137
B2B Manufacturing & Supplies,700026
Awning Repair & Service,701136
Awnings & Canopies Supplies,701137
B2B Apparel,700028
B2B Autos & Vehicles,700029
Auto Manufacturers & Distributors,700030
B2B Auto Parts,700031
B2B Tires,700032
B2B Furniture & Housewares,700033
Furniture Manufacturers,700034
Cabinet Maker,700920
Furniture Wholesalers,700035
B2B Hardware,700036
B2B Jewelers,700037
B2B Machinery & Tools,700038
Bearing Supplier,700921
Crane Service,700922
Electric Motor Store,700923
Equipment Maintenance & Repair,700039
Industrial Equipment,700040
Refractory Equipment & Supplies,701138
Woodworking Supply Store,700924
B2B Rubber & Plastics,700041
Plastic Fabrication Company,700925
B2B Textiles,700042
"Casting, Molding & Machining",700027
Molding,701139
Electrical Supply Store,700926
Fence Supply Store,700927
Fire Alarm Equipment & Supplies,701140
Fire Extinguisher Equipment & Supplies,701141
Hose Supplier,700928
Janitorial Equipment Supplier,700929
Mailing Machine Supplier,700930
Masonry Supply Store,700931
Material Handling Equipment Supplier,700932
Metals,700043
Metal Fabricators,700044
Steel Fabricator,700933
Scrap Metals,700045
Sheet Metal,700046
Steel Distributor,700934
Steel Fabricators,700047
Mulch Supplier,700935
Packaging Supply Store,700936
Patio Enclosure Supplier,700937
Playground Equipment Supplier,700938
Plumbing Supply Store,700939
Portable Toilet Supplier,700940
Propane Supplier,700941
Roofing Supply Store,700942
Safety Equipment Supplier,700943
Sod Supplier,700944
Window Supplier,700945
Wood & Pulp,700048
Logging Equipment & Supplies,700049
Logging Services,700050
Mills,700051
Wood Finishing Service,701142
B2B Medical Support Services,700138
Clinical Laboratories,700139
Testing Lab,701143
Dental Laboratories,700140
Hospital Equipment & Supplies,700141
Medical Alarms,701144
Medical Billing Services,700142
Medical Research & Development,700143
Medical Service Organizations,700144
Surgical Appliances & Supplies,700145
B2B Office Supplies & Equipment,700146
Cash Registers & Supplies,700147
Copiers & Copier Supplies,700148
Office Furniture,700149
Used Office Furniture Store,700946
Office Supplies & Stationery,700150
Toner Cartridge Supplier,700947
Vending Machines,700151
Vending Machines Repair & Service,701145
Water Coolers,700152
B2B Restaurant Services,700153
Restaurant Equipment & Supplies,700154
Restaurant Supply Store,700948
Restaurant Management,700155
B2B Science & Technology,700156
Scientific Equipment,700157
Scientific Laboratories,700158
B2B Storage & Transportation,700159
Cargo & Freight Services,700160
Distribution Services,700161
Freight Agents & Brokers,700162
Freight Forwarding Service,701146
Shipping Company,700949
Pipeline Transportation,700163
Railroad Freight,700164
Storage & Warehouses,700165
Automobile Storage Facility,700950
Rental Service Stores & Yards,700166
Equipment Rental Agency,700951
Warehouses,700167
Transportation Service,701147
Trucking,700168
Motor Freight Trucking,700169
Trucks & Industrial Vehicles,700170
Forklift Dealers,700171
Tractor Dealers,700172
Trailer Rental Service,700952
Truck Dealers,700173
"Truck Equipment, Parts & Accessories",700174
Truck Repair & Service,700175
Truck Stops,700176
Education,700281
Birthing & Parenting Center,701148
Board of Education Offices,700282
Colleges & Universities,700283
Architecture Schools,700284
"Arts, Humanities & Social Sciences Schools",700285
Business Schools,700286
Community & Junior Colleges,700287
Engineering Schools,700288
Law Schools,700289
Medical Sciences,700290
Dentistry Schools,700291
Medical Schools,700292
Nursing Schools,700293
Pharmacy Schools,700294
Veterinary Schools,700295
Science Schools,700296
Student Housing Center,700953
University,700954
School District Offices,700297
Schools,700298
After School Program,700955
Alternative Schools,700299
Charter Schools,700300
Elementary Schools,700301
High Schools,700302
Junior & Middle Schools,700303
Montessori School,700956
Preschool & Kindergarten,700304
Kindergarten,700957
Preschool,700958
Private K-12 School,701149
Private Schools,700305
Special Education,700306
Specialty Education,700307
Adult Education,700308
Art Schools,700309
Cooking Schools,700310
Dance Schools,700311
Driving Schools,700312
Language Schools,700313
Music Schools,700314
Sports & Recreational Training,701150
Tutoring Services,700315
Vocational & Training Schools,700316
Beauty School,700959
Massage School,700960
Technical School,700961
Trucking School,710317
Food & Drink,700318
Bakeries,700319
Banquet Halls,700320
Bars,700321
Catering,700322
Coffee & Tea,700323
Delivery Service,700324
Desserts,700325
Donuts,700326
Frozen Yogurt,700327
Ice Cream & Frozen Desserts,700328
Sweet Shops,700329
Drive-Thru,700330
Fast Food Restaurant,700331
Food Trucks,700332
Food Types,700333
Bagels,700334
Burgers,700335
Juices,700336
Pancakes & Waffles,700337
Pizza,700338
Pretzels,700339
Sandwiches,700340
Lounge,700962
Restaurants,700341
Bar & Grill Restaurants,700342
Barbecue Restaurants,700343
Bistro,710388
Buffet Restaurants,700344
Café Restaurants,700345
Internet Café,710346
Cuisines,700347
African Restaurants,700348
American Restaurants,700349
Australian Restaurants,700350
Belgian Restaurants,700351
Brazilian Restaurants,700352
British Restaurants,700353
Cajun & Creole Restaurants,700354
Caribbean Restaurants,700355
Chinese Restaurants,700356
French Restaurants,700357
German Restaurants,700358
Greek Restaurants,700359
Hawaiian Restaurants,700360
Hungarian Restaurants,700361
Indian Restaurants,700362
Irish Restaurants,700363
Italian Restaurants,700364
Jamaican Restaurants,700365
Japanese Restaurants,700366
Korean Restaurants,700367
Latin American Restaurants,700368
Mediterranean Restaurants,700369
Mexican Restaurants,700370
Middle Eastern Restaurants,700371
Peruvian Restaurants,700372
Polish Restaurants,700373
Portuguese Restaurants,700374
Russian & Ukrainian Restaurants,700375
Soul Food Restaurants,700376
Southwestern Restaurants,700377
Spanish Restaurants,700378
Thai Restaurants,700379
Turkish Restaurants,700380
Vegetarian & Vegan Restaurants,700381
Vietnamese Restaurants,700382
Delicatessens,700383
Diners,700384
Seafood Restaurants,700385
Steak House Restaurants,700386
Sushi Restaurants,700387
Take Away,700389
Wineries,701153
Government & Community,700390
Animal Shelters & Humane Societies,700391
Associations,700392
Fraternities & Sororities,700393
Veterans Associations,700394
Cemeteries ,700395
Chambers of Commerce,700396
Charitable Organizations,700397
Fire Protection,700398
Government Services,700399
Armed Forces,700400
Citizenship,700401
Courts,700402
Embassies & Consulates,700403
Federal Government Offices,700404
Jails & Prisons,700405
Licensing Services,700406
Local & State Government Offices,700407
National Security Services,700408
Passport & Visa Services,700409
Postal Services,700410
Social Security Services,700411
Taxation,700412
Tax Assessors,701154
Libraries,700413
Memorial Parks,700414
Notaries,700415
Parks & Recreation,700416
Parks,700417
Playgrounds,700418
Police & Sheriffs,700419
Recycling Centers,700420
Social Service Organizations,700421
Adoption Agency,700963
Food Banks,700422
Foster Care Services,700423
Gay & Lesbian Services Organization,700424
Homeless Shelters,700425
Housing Authorities,700426
Senior Citizen Services,700427
Social & Human Services,700428
Youth Organizations,700429
Healthcare,700430
Abuse & Addiction Treatment,700431
Addiction Treatment Center,700964
Alcohol & Drug Treatment Centers,700432
Alcoholism Treatment center,700965
Drug Addiction Treatment Center,700966
Crisis Intervention Services,700433
Eating Disorder Treatment Centers,700434
Alternative Medicine,700435
Acupuncturists,700436
Chiropractors,700437
Holistic Medicine,700438
Homeopaths,700439
Naturopathic Physicians,700440
Assisted Living & Care Services,700441
Nursing Homes & Life Care Facilities,700442
Home Health Care,710443
Nursing Home,700967
Retirement Home,700968
Dental Care,700444
Dentists,700445
Cosmetic Dentistry,700446
Teeth Whitening Service,700969
Dentists Referral Service,701155
Periodontist,700970
Root Canal Endodontists,700447
Emergency Dental Care,710450
Oral & Maxillofacial Surgeons,700448
Oral Surgeon,700971
Orthodontists,700449
Pediatric Dentist,710451
Doctors & Clinics,700452
Abortion Services,700453
Audiologists,700454
Cancer Treatment Centers,700455
Dialysis Clinics,700456
Doctors,700457
Allergist,700972
Allergists & Immunologists,700458
Anesthesiologists,700459
Dermatologists,700460
"Ear, Nose & Throat",700461
Otolaryngologist,700973
Family & General Practice Physicians,700462
Gynecologists,700463
Hand Surgeon,700974
Infectious Disease Specialists,700464
Internal Medicine Specialists,700465
Bariatric Medicine,700466
Cardiologists,700467
Endocrinologists,700468
Gastroenterologists,700469
Hematologists,700470
Magnetic Resonance Imaging,700471
Nephrologists,700472
Urologists,700473
Neurologists,700474
Nutritionists And Dietitians,700475
Obstetrician,700975
Oncologists,700476
Orthopedic Surgeon,710485
Pathologists,700477
Pediatricians,700478
Plastic Surgeon,700486
Podiatrists,700479
Radiologists,700480
Rheumatologists,700481
Speech Pathologists,700482
Sports Medicine,700483
Pain Management Surgeon,700484
Vascular Surgeon,700976
Fertility Clinic,700977
Hair Replacement Service,700978
Health Clinics,700487
Walk-in Clinic,700488
Medical Diagnostic Imaging Center,700979
Midwife,701156
MRI Center,700980
Occupational Therapist,700981
Pain Control Clinic,700982
Paternity Tests & Services,700489
Physical Therapists,700490
Pregnancy Care Center,700983
Rehabilitation Services,700491
Sleep Clinic,700984
Sleep Disorder Centers,700492
Sports Medicine Clinic,700985
Travel Clinic,700986
Women's Health Clinic,700987
Eye Care,700493
Laser Vision Correction,700494
LASIK Surgeon,700988
Ophthalmologists,700495
Pediatric Ophthalmologist,700989
Optician,700990
Optometrists,700496
Massage Therapist,700991
Medical Centers,700497
Ambulance & EMS Services,700498
Ambulance Service,700992
Emergency Care Facility,700993
Children's Hospitals,700499
Hospices,700500
Hospitals,700501
Urgent Care,700502
Mental Health Services,700503
Family Counselor,700994
Hypnosis And Hypnotherapy,700504
Psychiatrists,700505
Psychologists,700506
Hand Writing Analysts,701157
Psychotherapists,700507
Stress Management Services,700508
Suicide Prevention Services,700509
Prosthetic Device Service,701158
News & Media,700510
Newspapers,700511
Radio Stations,700512
Television Stations,700513
Weather Forecast Services,700514
Professionals & Services,700515
Animal & Pet Services,700516
Bird Control Service,700995
Dog Day Care Center,701159
Dog Sitter,700996
Dog Trainer,700997
Kennel,700998
Pet Breeders,700517
Pet Grooming,700518
Pet Sitting & Exercising Services,701160
Pet Trainer,700999
Veterinarians,700519
Animal Hospital,710521
Pet Emergency Care,710520
Appraiser,701161
Artists,701162
Auctioneers & Auction Houses,700522
Child Care Services,700523
Daycares,700524
Nannies,700525
Commercial Refrigerator Supplier,701000
Construction Services,700526
Architects,700527
Drafting Service,701163
Asphalt Contractor,701001
Blueprinters,700528
Builders,700529
Deck Builder,701002
Garage Builder,701003
Home Builders,700530
Custom Home Builder,701004
HVAC Contractor,710531
Building Contractor,701164
Building Materials Store,701005
Concrete Contractor,710560
Construction Company,710561
Construction Management,700532
Demolition Services,700533
Drilling & Boring Contractor,701165
Electric Contractor,701166
Engineering Services,700534
Civil Engineers,700535
Mechanical Engineers,700536
Professional Engineer,701167
Structural Engineers,700537
Excavating Contractor,701006
Fence Builders,700538
Fence Contractor,710539
General Contractor,700562
Inspection Services,700540
Home Inspection Services,700541
Mold Inspection Services,700542
Metal Materials & Experts,700543
Blacksmiths,700544
Ironworkers,700545
Iron Ornamental Work,701168
Welders,700546
Paving Contractor,710559
Plastering Contractor,701169
Ready Mix Concrete Supplier,701007
Scaffolding Rental Service,701008
Septic Tanks & Systems,700547
Solar Energy,700548
Stone & Masonry,700549
Gravel,700550
Lime,700551
Marble & Granite,700552
Masonry Contractors,700553
Masonry Contractor,701009
Rocks,700554
Sand,700555
Stone Supplier,701010
Sunroom Contractor,701011
Surveyors,700556
Land Surveyor,710557
Tile Contractor,701170
Well Drilling Contractor,701012
Wind Energy,700558
Counseling Services,701171
Diamond Buyer,701013
Drainage Contractor,701172
Dry Cleaning & Laundry Services,700563
Laundry Equipment Repair & Service,701173
Embroidery,701174
Employment Services,700564
Fashion Designer,701175
Foundation Contractors & Services,701176
Funeral Homes & Services,700565
Funeral Directors,701177
Mausoleum Builder,701014
Genealogists,700566
Graphic Designer,701178
Home & Garden Services,700567
Air Conditioning Services,700568
Concrete Pump Contractors,701179
Electricians,700569
Faux Painting Services,701180
Heating Services,700570
Home Appliance Repair & Services,700571
Electric Shaver Repair & Service,701181
Hot Tub Repair Service,701015
Water Heater Repair & Service,701182
Water Heater Repair & Services,701183
Home Remodeling & Repair,700572
Altering & Remodeling Contractor,701184
Bathroom Remodeling,700573
Bathtub & Sink Repairs,700574
Carpenters,700575
Ceiling & Roofing Repair & Service,701185
Chimney Cleaning & Repair,700576
Chimney Sweep,701016
Closet Remodeling,700577
Countertop Installation,700578
Door Repair & Installation,700579
Fire & Water Damage Restoration,700580
